channel,month,product_grouping,product_quantity,sales
Website,2021-10-01,11125,1221,9947.21500000007
Website,2021-10-01,11131,212,9337.06
Retailer 1,2021-10-01,11133,1452,8712
Website,2021-10-01,11132,1101,8619.62999999998
Retailer 1,2021-10-01,11123,636,8268
Website,2021-10-01,11129,337,7072.55499999999
Website,2021-10-01,11111,844,4682.74724999998
Website,2021-10-01,11147,483,3749.82009999998
E-commerce 1,2021-10-01,11128,281,3066.21
E-commerce 1,2021-10-01,11125,301,3008.49499999998
Website,2021-10-01,11145,551,2701.50495
Website,2021-10-01,11143,249,2500.15494999999
Website,2021-10-01,11112,156,2410.03499999999
Retailer 1,2021-10-01,11124,384,2304
Retailer 1,2021-10-01,11130,366,2013
E-commerce 1,2021-10-01,11124,114,1411.935
Website,2021-10-01,11123,100,1200
Website,2021-10-01,11134,184,1072.34
Website,2021-10-01,11146,183,888.375000000001
Retailer 2,2021-10-01,11127,151,830.5
Website,2021-10-01,11142,144,813.335
Website,2021-10-01,11116,766,745.985
Retailer 2,2021-10-01,11123,53,689
Website,2021-10-01,11144,74,646.91075
E-commerce 2,2021-10-01,11113,19,474.905
E-commerce 1,2021-10-01,11112,13,227.435
E-commerce 2,2021-10-01,11135,12,207.44
E-commerce 2,2021-10-01,11127,8,154.96
Retailer 1,2021-10-01,11128,24,132
E-commerce 2,2021-10-01,11130,8,104.96
E-commerce 2,2021-10-01,11125,5,99.975
Website,2021-10-01,11148,556,97.015
Retailer 2,2021-10-01,11124,14,94.5
Website,2021-10-01,11126,12,91.45
E-commerce 2,2021-10-01,11119,5,62.475
E-commerce 2,2021-10-01,11133,4,39.98
Wholesale,2021-10-01,11136,302,0
Wholesale,2021-10-01,11137,2,0
Wholesale,2021-10-01,11140,1,0
Wholesale,2021-10-01,11141,1,0
Website,2021-10-01,11140,4,0
Website,2021-10-01,11141,4,0
Website,2021-10-01,11114,1,0
Wholesale,2021-10-01,11112,5,0
Wholesale,2021-10-01,11116,50,0
Wholesale,2021-10-01,11117,1,0
Wholesale,2021-10-01,11119,362,0
Wholesale,2021-10-01,11120,902,0
Wholesale,2021-10-01,11124,122,0
Wholesale,2021-10-01,11125,2,0
Wholesale,2021-10-01,11127,128,0
Wholesale,2021-10-01,11128,1,0
Wholesale,2021-10-01,11130,2,0
Wholesale,2021-10-01,11132,982,0
Wholesale,2021-10-01,11133,1001,0
Wholesale,2021-10-01,11135,126,0
E-commerce 1,2021-09-01,11133,16330,162608.644999962
Retailer 1,2021-09-01,11135,15852,87186
Retailer 1,2021-09-01,11127,13932,82077
Website,2021-09-01,11113,2819,77607.3749500003
E-commerce 1,2021-09-01,11127,5636,56261.8550000047
Website,2021-09-01,11127,4001,48783.2393500023
Website,2021-09-01,11135,3376,39296.6245500009
Website,2021-09-01,11118,1057,31063.2749999997
Website,2021-09-01,11130,2245,23952.0197499997
Website,2021-09-01,11119,2404,23205.4902499998
Website,2021-09-01,11124,1328,18257.0449000001
Website,2021-09-01,11120,5149,18206.7677999999
Retailer 1,2021-09-01,11123,1390,17146
Website,2021-09-01,11133,2274,16965.0549500003
Website,2021-09-01,11136,1996,16151.8000000003
Website,2021-09-01,11131,355,15976.73
Retailer 1,2021-09-01,11133,1848,11088
Website,2021-09-01,11125,1314,10214.4650000001
E-commerce 1,2021-09-01,11119,926,9255.37000000001
Website,2021-09-01,11132,1471,8864.93994999998
Retailer 1,2021-09-01,11130,1320,7260
Website,2021-09-01,11129,298,6760.37499999999
Website,2021-09-01,11140,1672,6230.98499999991
Website,2021-09-01,11147,436,3203.90489999998
Website,2021-09-01,11112,147,2231.05999999999
E-commerce 1,2021-09-01,11125,202,2018.98999999999
E-commerce 1,2021-09-01,11128,171,1846.32
Website,2021-09-01,11145,362,1794.22495
Website,2021-09-01,11128,207,1626.37975
E-commerce 1,2021-09-01,11124,130,1624.35
Website,2021-09-01,11142,219,1276.245
Website,2021-09-01,11143,119,1160.575
Retailer 1,2021-09-01,11124,192,1152
Website,2021-09-01,11123,92,1116
Retailer 2,2021-09-01,11123,83,1079
Website,2021-09-01,11144,106,937.055
Website,2021-09-01,11134,159,920.420000000001
Website,2021-09-01,11146,133,706.715
Website,2021-09-01,11116,429,704.05
Retailer 2,2021-09-01,11127,125,687.5
Website,2021-09-01,11141,749,428.785000000001
E-commerce 2,2021-09-01,11113,14,349.93
E-commerce 2,2021-09-01,11127,11,209.945
E-commerce 2,2021-09-01,11135,10,199.95
Retailer 1,2021-09-01,11128,36,198
Retailer 2,2021-09-01,11124,20,135
E-commerce 2,2021-09-01,11130,10,124.95
E-commerce 1,2021-09-01,11112,6,104.97
Website,2021-09-01,11114,559,88.255
Website,2021-09-01,11126,9,46.475
Website,2021-09-01,11148,234,25.995
E-commerce 2,2021-09-01,11125,1,22.495
E-commerce 2,2021-09-01,11133,2,19.99
E-commerce 2,2021-09-01,11124,1,12.495
E-commerce 2,2021-09-01,11119,1,9.995
Wholesale,2021-09-01,11124,126,0
Website,2021-09-01,11137,2,0
Wholesale,2021-09-01,11125,240,0
Wholesale,2021-09-01,11127,1541,0
Website,2021-09-01,11115,6,0
Wholesale,2021-09-01,11130,1413,0
Wholesale,2021-09-01,11119,1650,0
Wholesale,2021-09-01,11132,1256,0
Wholesale,2021-09-01,11133,980,0
Wholesale,2021-09-01,11135,1538,0
Wholesale,2021-09-01,11136,246,0
Wholesale,2021-09-01,11123,7,0
Website,2021-09-01,11111,4,0
Wholesale,2021-09-01,11120,250,0
E-commerce 1,2021-08-01,11133,17800,170373.240599957
Website,2021-08-01,11113,2383,65234.9799500007
Website,2021-08-01,11127,3781,46297.1598000009
Retailer 1,2021-08-01,11127,7818,44586
Retailer 1,2021-08-01,11135,6822,37521
E-commerce 1,2021-08-01,11127,3666,36640.9200000001
Website,2021-08-01,11135,2804,32856.9249999994
Website,2021-08-01,11118,845,24850.2099999999
Website,2021-08-01,11130,2137,22722.4199499998
Website,2021-08-01,11119,2124,19599.7400000002
Website,2021-08-01,11124,1023,13929.1299500002
Website,2021-08-01,11133,1671,12596.2450000002
Website,2021-08-01,11120,2936,11879.3453000002
Website,2021-08-01,11136,1225,9945.22000000003
Website,2021-08-01,11125,1158,9251.51999999997
Website,2021-08-01,11131,193,8889.48
E-commerce 1,2021-08-01,11119,841,8405.79499999993
Retailer 1,2021-08-01,11123,612,7956
Retailer 1,2021-08-01,11133,1308,7848
Retailer 1,2021-08-01,11130,1176,6468
Website,2021-08-01,11132,772,6092.97999999996
Website,2021-08-01,11129,249,5584.88495
Website,2021-08-01,11147,452,3449.16499999998
E-commerce 1,2021-08-01,11124,197,2269.01999999999
E-commerce 1,2021-08-01,11128,193,2077.11
Website,2021-08-01,11140,732,1933.96999999998
Website,2021-08-01,11112,88,1357.535
E-commerce 1,2021-08-01,11125,134,1339.33
Website,2021-08-01,11145,230,1189.655
Website,2021-08-01,11128,138,1166.175
Retailer 1,2021-08-01,11124,180,1080
Website,2021-08-01,11123,86,1050
Website,2021-08-01,11142,140,846.8301
Retailer 2,2021-08-01,11123,57,741
Website,2021-08-01,11143,65,675.655
Website,2021-08-01,11134,105,631.83
Website,2021-08-01,11146,91,504.02
Retailer 2,2021-08-01,11127,87,478.5
Website,2021-08-01,11141,765,382.535
Website,2021-08-01,11144,42,371.31
E-commerce 2,2021-08-01,11113,10,314.96
Website,2021-08-01,11116,148,253.53
E-commerce 2,2021-08-01,11127,14,252.43
Retailer 1,2021-08-01,11128,36,198
E-commerce 2,2021-08-01,11130,10,149.95
Website,2021-08-01,11114,573,144.765
E-commerce 1,2021-08-01,11112,6,104.97
Retailer 2,2021-08-01,11124,13,87.75
E-commerce 2,2021-08-01,11135,5,62.475
E-commerce 2,2021-08-01,11125,3,54.985
Website,2021-08-01,11126,10,38.48
E-commerce 2,2021-08-01,11133,3,29.985
Website,2021-08-01,11137,1,25.5
Website,2021-08-01,11148,106,19.5
E-commerce 2,2021-08-01,11124,1,12.495
Wholesale,2021-08-01,11135,6,0
Wholesale,2021-08-01,11127,44,0
Wholesale,2021-08-01,11130,18,0
E-commerce 1,2021-07-01,11133,13803,137689.930599974
Website,2021-07-01,11113,3257,88778.1147000003
Website,2021-07-01,11127,4884,59600.6731500023
Retailer 1,2021-07-01,11135,8310,41550
Website,2021-07-01,11135,3438,40694.9688000007
Retailer 1,2021-07-01,11127,7614,40470
E-commerce 1,2021-07-01,11127,3313,33113.4349999995
Website,2021-07-01,11118,1052,30354.5799999998
Website,2021-07-01,11130,2404,24926.9349499997
Website,2021-07-01,11119,2305,21810.8146000001
Website,2021-07-01,11124,1383,18349.8147500002
Retailer 1,2021-07-01,11123,1308,16350
Website,2021-07-01,11120,4029,16329.6933500006
Website,2021-07-01,11133,2040,15024.6847500003
Website,2021-07-01,11136,1643,13121.9050000002
Website,2021-07-01,11131,300,12974.51495
Website,2021-07-01,11125,1299,10642.8598500001
Website,2021-07-01,11132,1024,7638.43489999997
Website,2021-07-01,11147,927,7012.29484999995
Retailer 1,2021-07-01,11130,1386,6930
Website,2021-07-01,11129,301,6354.91994999999
Retailer 1,2021-07-01,11133,660,4455
E-commerce 1,2021-07-01,11124,233,2898.83999999998
Website,2021-07-01,11112,141,2120.49499999999
E-commerce 1,2021-07-01,11128,176,1923.25
Website,2021-07-01,11140,1033,1884.42479999999
Website,2021-07-01,11128,233,1871.895
Website,2021-07-01,11145,341,1647.87489999999
E-commerce 1,2021-07-01,11119,125,1249.375
Website,2021-07-01,11142,164,916.479950000001
Website,2021-07-01,11134,156,884.734950000001
E-commerce 2,2021-07-01,11113,32,832.345
Website,2021-07-01,11123,49,600
Website,2021-07-01,11146,111,593.505
Website,2021-07-01,11143,51,497.56
Website,2021-07-01,11144,52,451.795
Website,2021-07-01,11141,402,300.96
E-commerce 1,2021-07-01,11112,14,244.93
Website,2021-07-01,11114,1365,235.93
Retailer 1,2021-07-01,11124,36,225
E-commerce 1,2021-07-01,11125,22,219.89
E-commerce 2,2021-07-01,11127,11,147.445
E-commerce 2,2021-07-01,11135,7,119.965
E-commerce 2,2021-07-01,11130,7,107.465
Website,2021-07-01,11116,24,70.61
Website,2021-07-01,11148,351,68.01
Website,2021-07-01,11126,11,66.47
Website,2021-07-01,11137,3,55.495
E-commerce 2,2021-07-01,11119,4,52.48
E-commerce 2,2021-07-01,11125,3,42.485
E-commerce 2,2021-07-01,11124,3,37.485
E-commerce 2,2021-07-01,11133,3,29.985
