country,billing_city,billing_region,sum,latitude,longitude
United States,Mulberry,Florida,300.29,27.90202,-82.001489
United States,Lake Wales,Florida,9,27.903734,-81.548805
United States,Aransas Pass,Texas,136.97,27.909167,-97.149722
United States,Valrico,Florida,409.45,27.912435,-82.246557
United States,Largo,Florida,1123.19,27.9163,-82.7996
United States,Brandon,Florida,893.655,27.9378,-82.2861
United States,Odem,Texas,74.495,27.940306,-97.583752
United States,Tampa,Florida,8380.85,27.9428,-82.4549
United States,Orange Grove,Texas,115.24,27.948659,-97.983835
United States,Eagle Lake,Florida,25.985,27.978661,-81.756357
United States,Clearwater,Florida,2306.69,27.9799,-82.7806
United States,Seffner,Florida,34.99,27.983333,-82.275833
United States,Dover,Florida,25.5,27.991975,-82.213845
United States,Winter Haven,Florida,1011.6,27.999296,-81.751507
United States,Safety Harbor,Florida,201.72,28.009608,-82.696658
United States,Palm Bay,Florida,1008.46,28.014605,-80.599087
United States,Plant City,Florida,447.66,28.0168,-82.1289
United States,Dunedin,Florida,511.925,28.019444,-82.771944
United States,Rockport,Texas,47.495,28.020278,-97.054167
United States,Melbourne Beach,Florida,49,28.021923,-80.538936
United States,Sinton,Texas,34.995,28.033895,-97.519582
United States,Lakeland,Florida,1915.305,28.038134,-81.939153
United States,Lake Hamilton,Florida,9.995,28.044167,-81.628056
United States,Oldsmar,Florida,376.66,28.046035,-82.684778
United States,Encinal,Texas,66.245,28.051329,-99.340902
United States,Thonotosassa,Florida,27.995,28.061747,-82.308212
United States,Melbourne,Florida,1230.72,28.069132,-80.620015
United States,Sandia,Texas,27,28.070879,-97.897849
United States,Auburndale,Florida,124.045,28.072443,-81.812234
United States,Palm Harbor,Florida,276.095,28.077778,-82.763889
United States,Mathis,Texas,105.985,28.080208,-97.809659
United States,Tampa,Florida,8380.85,28.0879,-82.4593
United States,Lake Alfred,Florida,108.47,28.089483,-81.727138
United States,Haines City,Florida,517.735,28.095073,-81.614712
United States,Indialantic,Florida,220.6,28.109059,-80.578718
United States,Kissimmee,Florida,2277.8,28.124786,-81.458984
United States,Port O Connor,Texas,131.585,28.140032,-96.775131
United States,Odessa,Florida,414.885,28.142072,-82.590506
United States,Lutz,Florida,1328.65,28.143,-82.4752
United States,Tarpon Springs,Florida,452.415,28.145833,-82.756944
United States,Satellite Beach,Florida,683.055,28.178571,-80.598671
United States,Holiday,Florida,157.97,28.191273,-82.727935
United States,Polk City,Florida,24.995,28.19867,-81.808282
United States,Kathleen,Florida,14.4,28.205224,-82.043499
United States,Wesley Chapel,Florida,1156.175,28.210365,-82.288956
United States,Davenport,Florida,991.895,28.22,-81.6205
United States,Woodsboro,Texas,4.95,28.223222,-97.31921
United States,New Port Richey,Florida,471.07,28.232574,-82.732721
United States,Zephyrhills,Florida,488.16,28.2333,-82.1813
United States,Saint Cloud,Florida,615.72,28.247992,-81.287626
United States,Patrick Afb,Florida,15.3,28.259896,-80.607126
United States,Land O Lakes,Florida,980.33,28.2682,-82.465
United States,Port Richey,Florida,223.205,28.301148,-82.692714
United States,Kissimmee,Florida,2277.8,28.305056,-81.424208
United States,Rockledge,Florida,49.49,28.313441,-80.73193
United States,Refugio,Texas,167.97,28.316944,-97.276665
United States,George West,Texas,15.75,28.320388,-98.116159
United States,Merritt Island,Florida,153.72,28.328607,-80.67818
United States,Cocoa Beach,Florida,237.965,28.332451,-80.612066
United States,San Antonio,Florida,81,28.337139,-82.288237
United States,Hudson,Florida,207.91,28.364763,-82.675669
United States,Cocoa,Florida,694.095,28.367183,-80.746455
United States,Cape Canaveral,Florida,58.995,28.39034,-80.604267
United States,Spring Hill,Florida,487.845,28.405084,-82.530148
United States,Seadrift,Texas,30.49,28.410113,-96.702279
United States,Beeville,Texas,182.76,28.422246,-97.761571
United States,Dade City,Florida,219.65,28.4297,-82.2082
United States,Spring Hill,Florida,487.845,28.46551,-82.598084
United States,Three Rivers,Texas,21.25,28.475646,-98.178162
United States,Winter Garden,Florida,2051.445,28.4867,-81.6051
United States,Orlando,Florida,11998.82,28.498821,-80.58248
United States,Windermere,Florida,951.495,28.50061,-81.535411
United States,Gotha,Florida,125.31,28.5275,-81.523333
United States,Carrizo Springs,Texas,67.265,28.52779,-99.863513
United States,Orlando,Florida,11998.82,28.539882,-81.372668
United States,Clermont,Florida,1439.14,28.552541,-81.757407
United States,Oakland,Florida,91.19,28.554722,-81.633333
United States,Groveland,Florida,331.35,28.564445,-81.874526
United States,Brooksville,Florida,293.46,28.565805,-82.373674
United States,Titusville,Florida,264.06,28.569712,-80.819141
United States,Minneola,Florida,359.165,28.574167,-81.746389
United States,Mascotte,Florida,101.95,28.578056,-81.886944
United States,Ocoee,Florida,817.85,28.583685,-81.532618
United States,Montverde,Florida,10.995,28.597153,-81.679368
United States,Winter Park,Florida,1895.025,28.597824,-81.353436
United States,Port Lavaca,Texas,61.235,28.601135,-96.625941
United States,Maitland,Florida,582.655,28.631284,-81.354598
United States,Bushnell,Florida,218.665,28.661062,-82.155297
United States,Casselberry,Florida,532.16,28.661671,-81.312215
United States,Apopka,Florida,1152.54,28.661865,-81.485149
United States,Altamonte Springs,Florida,727.615,28.662728,-81.371908
United States,Center Hill,Florida,39.99,28.663484,-81.996289
United States,Oviedo,Florida,1393.215,28.669722,-81.208333
United States,Point Comfort,Texas,48.725,28.679444,-96.56
United States,Winter Springs,Florida,504.715,28.683097,-81.281367
United States,Crystal City,Texas,88.02,28.686953,-99.826412
United States,Bloomington,Texas,36.49,28.68898,-96.884076
United States,Mims,Florida,54.78,28.697383,-80.866278
United States,Goliad,Texas,31.245,28.699257,-97.378321
United States,Eagle Pass,Texas,260.68,28.702786,-100.48176
United States,Astatula,Florida,292.43,28.708754,-81.719473
United States,Howey In The Hills,Florida,37.49,28.709818,-81.789983
United States,Longwood,Florida,735.405,28.711994,-81.355238
United States,Palacios,Texas,187.95,28.71504,-96.215439
United States,Zellwood,Florida,61.6,28.71944,-81.576174
United States,Homosassa,Florida,29.745,28.7488,-82.5318
United States,Floral City,Florida,42.985,28.749722,-82.296944
United States,Geneva,Florida,71.5,28.750299,-81.11137
United States,Lake Mary,Florida,637.84,28.752352,-81.338075
United States,Matagorda,Texas,137.49,28.764926,-95.951891
United States,Lake Panasoffkee,Florida,9.995,28.795261,-82.136279
United States,Tavares,Florida,137.075,28.801027,-81.73405
United States,Sanford,Florida,961.44,28.801307,-81.285044
United States,Mount Dora,Florida,420.16,28.802222,-81.644722
United States,Sorrento,Florida,63.24,28.803519,-81.532317
United States,Leesburg,Florida,355.915,28.807965,-81.885772
United States,Victoria,Texas,858.32,28.808953,-96.999347
United States,Inverness,Florida,380.915,28.8337,-82.2896
United States,Osteen,Florida,382.97,28.842617,-81.156224
United States,La Ward,Texas,60.965,28.843611,-96.463889
United States,Wildwood,Florida,140.5,28.845353,-82.03473
United States,Eustis,Florida,160.96,28.857686,-81.64513
United States,Fruitland Park,Florida,238.205,28.863949,-81.899755
United States,Blessing,Texas,24.995,28.864947,-96.217956
United States,Karnes City,Texas,24.995,28.882757,-97.90707
United States,Debary,Florida,548.82,28.884573,-81.306506
United States,Grand Island,Florida,96.465,28.886552,-81.739093
United States,Deltona,Florida,1122.025,28.898897,-81.247307
United States,Inez,Texas,43.74,28.899416,-96.800294
United States,Hernando,Florida,40.485,28.899722,-82.374722
United States,Jourdanton,Texas,35.495,28.902985,-98.544037
United States,Lady Lake,Florida,31.245,28.9172,-81.923
